,bill_id,bill_title_fr,bill_title_de,person_name,person_gender,canton_name,canton_abbrev,topic
641,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457854,Assurance-maladie. La carte d'assuré avec puce est-elle un flop?,Krankenversicherung. Ist die Versicherungskarte mit Chip ein Flop?,Graf-Litscher Edith,f,Thurgau,TG,Gesundheit
642,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457855,14 juin. Des mesures d'incitation pour l'égalité des salaires,14. Juni. Proaktive Massnahmen für die Lohngleichheit,Bernasconi Maria,f,Genf,GE,Recht Allgemein
643,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457856,Sondages de la SSR,SRG-Umfragen,Rickli Natalie,f,Zürich,ZH,Medien und Kommunikation
644,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457857,Extension d'un accord de libre-échange agricole à des produits non harmonisés,Ausweitung eines Agrarfreihandelsabkommens auf nichtharmonisierte Produkte,Aebi Andreas,m,Bern,BE,Landwirtschaft
645,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457858,Violation du droit suisse par les Etats-Unis,Die USA verletzen Schweizer Recht,Schlüer Ulrich,m,Zürich,ZH,Finanzwesen
646,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457859,Révision de la LACI et égalité des sexes,Avig-Revision und Gleichberechtigung,Aubert Josiane,f,Waadt,VD,Soziale Fragen
647,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457860,Libre circulation des personnes,Personenfreizügigkeit,Estermann Yvette,f,Luzern,LU,Migration
648,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457861,Le Conseil fédéral est-il disposé à accorder ses sept heures de repos nocturne à la population habitant autour de l'aéroport de Zurich?,"Ist der Bundesrat bereit, der Bevölkerung um den Flughafen Zürich die garantierten sieben Stunden Nachtruhe zu gewähren?",Bänziger Marlies,f,Zürich,ZH,Verkehr
649,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457862,Pénalisation actuarielle des victimes d'accidents militaires,Versicherungstechnische Benachteiligung der Opfer von Militärunfällen,Widmer Hans,m,Luzern,LU,Sicherheitspolitik
650,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457863,Viande assaisonnée,Gewürztes Fleisch,Glur Walter,m,Aargau,AG,Landwirtschaft
