,bill_id,bill_title_fr,bill_title_de,person_name,person_gender,canton_name,canton_abbrev,topic
9557,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497951,Exposition d'un modèle du Gripen à la MUBA,Ausstellung eines Gripen-Modells an der Muba,Leutenegger Oberholzer Susanne,f,Basel-Landschaft,BL,Sicherheitspolitik
9558,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497952,Le Mouvement autonomiste jurassien est-il l'interlocuteur officiel de la Confédération?,Jurassische Kampforganisation als offizielle Ansprechpartnerin des Bundes?,Umbricht Pieren Nadja,f,Bern,BE,Parlament
9559,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497953,Calcul du taux d'autoapprovisionnement alimentaire,Ernährung. Berechnung des Selbstversorgungsgrades,Müller Geri,m,Aargau,AG,Sicherheitspolitik
9560,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497954,Réduction des effectifs au sein du Service de renseignement de l'armée?,Personalabbau beim Nachrichtendienst der Armee?,Hiltpold Hugues,m,Genf,GE,Sicherheitspolitik
9561,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497955,Echange automatique de renseignements. Quels avantages pour la Suisse de jouer au pionnier?,"Automatischer Informationsaustausch. Welche Vorteile hätte die Schweiz als ""early mover""?",Wermuth Cédric,m,Aargau,AG,Finanzwesen
9562,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497956,Accord de libre-échange entre l'AELE et l'Inde,Freihandelsabkommen zwischen der Efta und Indien,Schneider-Schneiter Elisabeth,f,Basel-Landschaft,BL,Wirtschaft
9563,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497957,Stockage de déchets nucléaires dans l'enceinte de la centrale française du Bugey,Lagerung radioaktiver Abfälle auf dem Areal des französischen Kernkraftwerkes Bugey,Mahrer Anne,f,Genf,GE,Energie
9564,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497958,Frontières Schengen et possible infiltration d'islamistes étrangers en Suisse,Offene Schweizer Schengen-Grenzen und mögliche Infiltration ausländischer Islamisten,Keller Peter,m,Nidwalden,NW,Europapolitik
9565,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497959,Refuge pour Edward Snowden un an après les révélations sur les écoutes de la NSA,Ein Jahr NSA-Enthüllungen. Edward Snowden ohne sichere Bleibe,Leutenegger Oberholzer Susanne,f,Basel-Landschaft,BL,Internationale Politik
9566,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497960,"Le président de la Confédération, un primus inter pares",Der Bundespräsident als Primus inter Pares,Rutz Gregor,m,Zürich,ZH,Staatspolitik
9567,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497961,FIFA. Quand le Conseil fédéral agira-t-il?,Fifa. Wie lange will der Bundesrat noch zusehen?,Wermuth Cédric,m,Aargau,AG,Soziale Fragen
9568,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497962,Stratégie de l'argent propre. Que contiennent les coffres des banques et les dépôts francs sous douane?,Weissgeldstrategie. Was liegt in den Banksafes und in den Zollfreilagern?,Leutenegger Oberholzer Susanne,f,Basel-Landschaft,BL,Finanzwesen
9569,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497963,Programme Erasmus et frais de déplacement de la Poste,Programm Erasmus und Reisespesen der Post,Umbricht Pieren Nadja,f,Bern,BE,Bildung
9570,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497964,Palais fédéral. Interdiction d'accès à Maryam Radjavi,Bundeshaus. Zutrittsverbot für Maryam Radjavi,Neirynck Jacques,m,Waadt,VD,Parlament
9571,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497965,Démarchage agressif dans le domaine de l'assurance-maladie. Quand le SECO sévira-t-il?,Ärgerliche Maklertätigkeit im Krankenversicherungsbereich. Unternimmt das Seco in Zukunft mehr dagegen?,Stolz Daniel,m,Basel-Stadt,BS,Wirtschaft
